sonic,rmse_0-6h_tke,bias_0-6h_tke,rmse_6-12h_tke,bias_6-12h_tke,rmse_12-18h_tke,bias_12-18h_tke,rmse_18-24h_tke,bias_18-24h_tke
tnw07.8m,0.2176108427754484,0.1335767927512089,0.1708973596652502,0.089819965035872,0.7385349418059478,0.366095236929968,0.3161982831732136,0.1601675584053706
tnw07.10m,0.2052015388408345,0.1143552869494197,0.1585066213937698,0.070090297499798,0.7095624498786669,0.2253443889021616,0.3104206247638674,0.0902017631764958
tnw07.12m,0.2146578366419456,0.0697589878201028,0.1549913373082382,0.0673103437691589,0.6926731611697868,0.0563791341269376,0.3212954962681194,0.0793898827924616
tnw07.20m,0.1951745972332334,0.100343875764993,0.1484868856926078,0.0717981225766112,0.6702015922311791,-0.0393009607813897,0.3724105483080161,0.0090278419621656
tnw07.30m,0.2180808012515824,0.0923663153570164,0.1229273645527859,0.0580815581028146,0.654413601284428,-0.127464830905478,0.4156929291530037,0.001192148884123
tnw07.40m,0.2529122255174437,0.0850901753517164,0.1163359595244386,0.0325096873310069,0.6711469378692964,-0.2067536013791839,0.4405118160197035,-0.0073238677778027
tnw07.60m,0.286381061469821,0.0780963597132368,0.1684725964576992,-0.0084295369686883,0.7002276962502262,-0.1975149343441231,0.4588865075720363,0.0170036732690997
tnw08.2m,0.2926399782615305,0.2210116566737884,0.0784316265983826,0.0323542713849668,0.5464545286866921,0.2769675065840392,0.4612002345214813,0.3558518264302363
tnw08.10m,0.2587490179603085,0.1104499467599009,0.1064605035786335,-0.0227562423221792,0.6780499792786568,0.0799311795773575,0.5315982535602243,0.187827521925934
tnw08.20m,0.2663557222097683,0.0942308543341887,0.1378556648101149,-0.0675522683847834,0.618959324431325,0.0328922674148216,0.5832195922139459,0.0868404423735323
tnw09.2m,0.2111356054079855,0.1597385543197697,0.0837143135932569,0.0333826780785743,0.5060860741722498,0.1880836299953732,0.44088177391052,0.3208330843439971
tnw09.10m,0.2578064065075746,0.1066179254536495,0.1274099040148252,-0.0863328287190407,0.6214601850010296,-0.0360358687465437,0.5765089613646528,0.2122779938441134
tnw10.10m,0.2108771249393546,0.0966469177491761,0.1661348993771644,-0.1390690155396312,0.5013881701158873,-0.1645822093977133,0.4246990193822518,0.1500356898277622
tnw10.20m,0.1925413015452802,0.0286241370327577,0.232787520783466,-0.1510618856172954,0.7734998534395544,-0.6256794704619564,0.4442036220584501,0.0322379128489693
tnw10.30m,0.2051527810733006,-0.0087654195915174,0.0846690116111983,-0.0538977578889954,0.6528546212585441,-0.4418372634989472,0.431693480884038,0.0081946168312178
tnw10.40m,0.2122046726846029,-0.0236629472016561,0.0533107933170233,-0.0375266004062047,0.5292049237620201,-0.3052573352644431,0.4388258389793093,-0.0307061529988643
tnw10.60m,0.210254817576146,-0.0417236709902938,0.046521789190459,-0.0333159358107794,0.4981446301382845,-0.2604852138185429,0.4197081699418999,-0.0686485351183542
tnw11.2m,0.3209222837190781,0.2328305056542462,0.1716986147609838,0.1035776141630719,0.6921526507143486,0.6777058787147406,0.5614373730549582,0.5150689822508104
tnw11.10m,0.2138991797158962,0.099011846653731,0.0681275320447591,-0.0469041574045576,0.2980594886074783,-0.1447533829740217,0.3340886709604665,0.1493779980427562
tnw11.20m,0.1732805402819002,0.0219595851815961,0.0537273129539154,-0.0380638252536117,0.3281911660119904,-0.2186060449806628,0.3243522141063545,0.0315531067805005
tnw12.2m,0.2493414590320091,0.1719716783628748,0.0773295165144016,0.0261823386169042,0.5163275168361986,0.4782716238607795,0.5213942422174302,0.4618430891055595
tnw12.4m,0.248855021924867,0.1640901882409417,0.0583048107837398,-0.0272701062144914,0.279719122013555,0.190358564703368,0.4105582241236419,0.3125923709921481
tnw12.6m,0.2475544060495258,0.1563858602217561,0.0750060695444676,-0.053201945386016,0.236564796301028,-0.0235704348635013,0.3652629242309436,0.2086170895007589
tnw12.8m,0.2360837886821584,0.1370482213121537,0.0663898100384954,-0.0471322676843027,0.24278743506293,-0.078467411931926,0.3492001635930686,0.1504802777273888
tnw12.10m,0.2290233643495472,0.1228636931826075,0.059132785752965,-0.0418471410347561,0.2613158771953339,-0.1159463991279022,0.3434341167670127,0.0991894508232029
tnw12.12m,0.2233825787228006,0.0981534991228715,0.0516718172722788,-0.0373178542202871,0.2694393098245758,-0.132051415941069,0.3340208228426908,0.0661571535846749
tnw12.20m,0.1902280271253893,0.0105841451868004,0.0484715299024273,-0.0358628237883926,0.2836298195773201,-0.1597142288733445,0.3343548403972484,-0.0006278653995753
tnw12.30m,0.1834305036921596,-0.0138528610405225,0.0486358376622062,-0.0337352152816487,0.2858433615886445,-0.1822869819689492,0.3568037399602245,-0.0549422007383941
tnw13.2m,0.0447124913559213,0.0215391888900759,0.0240823251607338,0.0061075804689387,0.2249056188182565,0.2031771762098098,0.2707396172398529,0.24158312347917
tnw13.4m,0.0892411429802505,0.0530542149813483,0.0398889455079346,0.0129713084754715,0.4259344784923456,0.3802616528412487,0.5022995891359332,0.4501339748435291
tnw13.6m,0.1011334022991336,0.0561370948176652,0.0308048851536123,0.0059267257315292,0.4019658794744591,0.3307435371464168,0.5218924663295086,0.4576814406374873
tnw13.8m,0.1215207852768764,0.0666409607665386,0.0269632204508205,0.0042025659389298,0.4066609194652033,0.3165121350280979,0.5358082568186671,0.4625547301918772
tnw13.10m,0.1302405365839262,0.063299171860301,0.0266272826039818,-0.0024194639506009,0.335579879201022,0.2109506365444032,0.5020839101952209,0.417192666299878
tnw13.12m,0.1289980416792446,0.0460965079679198,0.031501846069861,-0.0131973622264617,0.2605634755120243,0.0925062501609258,0.4312462675334014,0.3264904751299494
tnw13.20m,0.1791094165238063,0.0439752707944872,0.0484901881442336,-0.0360557063903639,0.2906818357540767,-0.1413375933626959,0.3347683840400706,0.0671368724412766
tnw13.30m,0.2300409003204784,0.046535156663727,0.0486210356057379,-0.0375770204752078,0.325067870049508,-0.1871389992694165,0.3547729372135613,-0.0164698874249775
tnw14.2m,0.2166828761432011,0.147132655213116,0.0200746203172584,0.0032757669907989,0.3748410853894799,0.32768399229951,0.4644910749667441,0.4155506336559303
tnw14.4m,0.2020897010949966,0.1366023077868332,0.018649079857426,0.0047646447108565,0.3788722685981975,0.3210702343498474,0.4740632725107799,0.4223763426289202
tnw14.6m,0.1905825624833531,0.1167629277883934,0.0186726506134242,0.0039254814041432,0.4190859026934109,0.3405507988372857,0.5105433400930541,0.4529780845116655
tnw14.8m,0.1816054666170558,0.1046247674378397,0.0175661501018468,0.0023663148451223,0.4111357725995522,0.3245726792818915,0.4887467936120194,0.4305730291653358
tnw14.10m,0.1748750699041437,0.0909498968477556,0.0184531139659391,-0.0027534171956605,0.3728545868833254,0.2759775805085361,0.4439080789203385,0.3852869871475259
tnw14.12m,0.162093496301844,0.072966823482531,0.0238103494991588,-0.0111085807828936,0.2805166373061951,0.1620431762251295,0.3725457198878746,0.2991062776007044
tnw14.20m,0.1454971398866224,-0.0075582552526225,0.0418848505456129,-0.0291031246329543,0.2981639847815844,-0.1288165714262261,0.2969769919188691,0.0547513220794508
tnw14.30m,0.2023919907814632,0.0157328982096307,0.0440587384685725,-0.0306181032866234,0.3640392791686099,-0.2003536068607254,0.2946553825426162,-0.0130918122581642
tnw15.2m,0.2867206437818044,0.2068082812340732,0.0160627053645802,0.0040879505550542,0.397697515556431,0.3488325360182467,0.4478066901020999,0.4093435719759654
tnw15.4m,0.2460854793912733,0.1716694579479585,0.0163874450126208,0.0046719405027951,0.3353614894750303,0.2737497536072314,0.4450965916900221,0.3931158803715434
tnw15.6m,0.2191652050797455,0.1362640313444684,0.0177512219263342,0.004206327688189,0.2657604482024509,0.1688730484743059,0.4284726118273176,0.357038062713662
tnw15.8m,0.2063149621419832,0.1177969364221267,0.0188801126103474,0.0034328755962089,0.2281198287852914,0.0714648892419345,0.3823727446633908,0.2924870066417983
tnw15.10m,0.1906204372032119,0.0901755453927638,0.0218111363078467,-0.003428425167014,0.2325508550500753,0.0203544380657134,0.3531932599780498,0.2458923656807468
tnw15.12m,0.1765499875636187,0.0557286241099977,0.0284300790908354,-0.0142977639609899,0.2401924854251572,-0.0251423015469227,0.3291675480763045,0.2008142350505588
tnw15.20m,0.1759693340555992,-0.0165298210507231,0.0470471484985198,-0.0301357309874132,0.2899985981397512,-0.1239690227077463,0.2913903942145793,0.0678609251520683
tnw15.30m,0.1963786203546955,0.0067731208143488,0.0538731480823144,-0.0333803274753503,0.3432522731347031,-0.1861583699005385,0.2778738203120409,-0.0061434644306456
tnw16.2m,0.2850119998509747,0.2108137744133168,0.0134845637336757,-0.0007179524005241,0.2097262880972159,0.1776796286230919,0.2936340449044326,0.2471153960864914
