sonic,rmse_0-6h_dir,bias_0-6h_dir,rmse_6-12h_dir,bias_6-12h_dir,rmse_12-18h_dir,bias_12-18h_dir,rmse_18-24h_dir,bias_18-24h_dir
tnw05.6m,91.41643153384436,56.81493804821439,,,,,93.17798884734172,6.3265768716430655
tnw05.8m,87.43210349979441,54.62674441303676,,,,,97.64670109873452,-6.995877870611482
tnw05.10m,78.07717973531676,37.68794876950582,,,,,95.63900563171954,-20.795701748399733
tnw05.12m,75.29892297653936,27.35626254950629,,,,,94.78276117540844,-23.84312844437069
tnw05.20m,64.89544165246231,-5.049592083740233,,,,,96.78606925973796,-35.340091798061785
tnw06.2m,80.19373532347096,-4.032021005548371,72.69799085560763,-59.66180029703776,55.17017888574552,-18.85930532564376,81.98725934384369,-34.53288797179593
tnw06.4m,79.69618979982702,10.153536359341942,73.09674396120718,-55.9727471033732,54.33991668845493,-20.119124429459045,76.97495900721611,-28.553447026030224
tnw06.6m,86.17822073639803,25.051833709049223,69.54319735853046,-45.93325018259684,53.58943006453457,-18.59096132447984,78.5309697636812,-22.9819341721948
tnw06.8m,93.34302101036072,29.004277992890938,63.067533186413655,-21.91942195421854,50.26612786726645,-19.70102356599596,82.16565726996575,-24.86651460256789
tnw06.10m,89.09112654679191,27.71847846484713,64.78325630737581,-6.102310136625498,47.33261500378922,-17.16045494381799,83.01072779530196,-28.089505168460207
tnw06.12m,88.12447785893865,22.39885967566173,61.51634784415183,-17.27499911719428,48.23466401932024,-18.78289964606391,87.63538138491494,-29.81859828715854
tnw06.20m,89.21055732990735,-15.90483398395114,43.43660852558864,-9.425872374502818,49.829046247101694,-15.651829588372973,92.43015940131356,-30.84818191336367
tnw07.4m,103.8249557771433,25.383571406920748,50.60885619039334,24.74620145551893,81.69244066681718,31.39345962320964,76.64663475149071,26.17531049770779
tnw07.6m,107.41404003590944,20.90914574754504,42.229845477215775,29.510086828952364,81.28921528030791,36.2707356388516,81.94642988388684,27.5331552049213
tnw07.8m,108.66551287687952,6.962985060289171,41.367987751965096,31.065559705946185,82.608251852669,33.09591935981115,83.69266577417521,31.252016708670723
tnw07.10m,111.58870505490717,-10.966945397101508,40.374807757996905,30.82504767269558,83.19152431166725,23.619218231264743,87.90046241154896,34.95164814047483
tnw07.12m,112.25052246505734,-16.085280341762967,41.58144164528557,32.7846942630344,87.97711481077643,26.405322975815665,91.04097916389948,36.03106566344367
tnw07.20m,117.04015091635148,20.56096166364881,37.09311213924806,27.43990864562988,83.15455414205148,25.35620667330424,93.23602066511604,22.39516734608544
tnw07.30m,119.19587209235836,44.51084496086968,32.55370816347796,20.283844154357908,85.55297784282894,8.90366447783576,91.24050801562286,6.118492643992107
tnw07.40m,127.10794694200914,45.307632623969184,32.95679118841456,20.588415042283803,83.14544478941906,18.17167870519426,93.46419807090628,5.110091428629559
tnw07.60m,124.66125279637204,48.76064451022678,34.35989753450254,15.326471957482232,70.22010963274634,2.4140416793399395,97.14154927876832,-15.17359361223644
tnw08.2m,95.13884789813903,-35.2280554532104,50.96527563041329,34.00931997447544,83.48251570948169,59.64395496478611,79.53426900524039,22.43810337352753
tnw08.10m,100.76292049940317,-39.50428949114481,65.57230943736427,29.79888882730272,110.13569491060954,65.43168467186823,95.82396202606056,18.50529179752138
tnw08.20m,110.46915838725542,11.191746258714463,74.1401680784482,32.11832334020403,101.35544297926796,39.53826725429958,94.8466870401542,6.928909873178273
tnw09.2m,85.30103410638864,-33.207775242805475,88.52357670158129,60.66625126449796,107.27546186738854,61.98607153697543,94.44529064392982,-6.123002662933865
tnw09.10m,48.385691726351816,-13.403084348445468,54.40331902333546,38.99906618957519,106.14078937530202,58.49394241116841,102.7008786400214,-0.1473857248359201
tnw10.10m,45.666894506280975,-8.067372785104643,22.129567736596723,7.270533649084304,68.1965923014525,10.409953617901271,98.9244504463918,-25.55505948306189
tnw10.20m,39.06586840303474,-5.480622092458935,25.49518584304641,12.888500917534031,38.2828105525817,5.129948781511518,96.822860084016,-9.658599586386147
tnw10.30m,36.3499514426849,1.8111575872421284,25.49897514599068,15.092403746986388,30.68341029478077,-2.620796841812133,89.2631278615823,-6.605902753842138
tnw10.40m,34.5799684756498,4.182920736554465,24.81744739098063,15.918557192325588,24.6791820844028,-7.262436919445463,74.18542945581555,-10.211890646981134
tnw10.60m,32.906884904371715,9.994537950976694,33.498052858977374,21.19901242391798,22.806169283862207,-9.128851244455973,65.43896600192366,-13.716362771188946
tnw11.2m,65.38125150475322,-7.94258915643692,17.01931629965869,6.34660460334354,13.859292556212106,-2.0305054952409543,41.28520732525967,-15.546664261542428
tnw11.10m,40.57956813088861,-3.081997655824023,30.22378863524795,15.93964516005516,18.88753512238205,-5.015164475123087,43.30817722883025,-11.396952584419251
tnw11.20m,46.17144076829507,-4.568133856591119,28.094591918116187,10.814224460193843,22.866153805110773,-10.231608152008056,57.45228805698163,-7.68690085785283
tnw12.2m,82.19156209589465,-1.6441408712598982,65.6447541584168,-12.00491812108358,20.69740821513673,-14.243095658111573,50.45431128898248,-8.791501619336868
tnw12.4m,64.6883553971209,-14.865094844447237,47.15594496450218,13.022093316078184,20.737166475173247,-11.891154038535223,75.66938831372107,-1.9175471591475275
tnw12.6m,63.36025686041526,-11.691930586258568,41.90758445488615,17.558427244822187,22.02862272884473,-9.861524801974824,58.29854780233232,-9.83688305015034
tnw12.8m,58.35632103126032,-12.31930147807863,42.50975116624862,21.18738746916665,23.8684130056866,-9.950120141559175,73.50462979452767,-5.724847163065804
tnw12.10m,56.06992912238773,-10.461811817608936,43.35183134113413,21.667284536240366,25.250270322120624,-10.952185764524671,66.69436226176188,-17.79213514713605
tnw12.12m,54.99859827704999,-15.469166370068988,41.81978818496439,17.508023731132077,28.19117408694919,-15.59907099232144,66.3444439276913,-20.528692856233384
tnw12.20m,46.32792508011016,-10.507544564602105,42.48080158082057,18.3670395809918,27.683291705982825,-13.459656802605522,62.15285744742761,-25.120927631185577
tnw12.30m,42.41503059080163,-7.825200310993194,38.59989032888637,14.761992617024315,27.93513637567061,-13.811373173336452,59.02138722740592,-24.79614423177745
tnw13.2m,61.88414628539168,-38.169984422471785,112.11962323913878,-102.3655147169325,52.98333342001646,47.27057782147725,88.2224900083696,18.575414779795537
tnw13.4m,80.24703486116378,12.127242397393118,120.21872276090598,-57.35272282295227,25.510550750354856,-9.093964136208427,82.06548948552403,-4.13826040605333
