sonic,rmse_0-6h_vh,bias_0-6h_vh,rmse_6-12h_vh,bias_6-12h_vh,rmse_12-18h_vh,bias_12-18h_vh,rmse_18-24h_vh,bias_18-24h_vh
tnw10.10m,1.894194336016164,1.6664624873022902,1.361921006593648,1.1044564691827032,1.3101981458079717,0.9639528225659264,0.5882160826404449,0.3403487882132
tnw10.20m,2.2508855240264305,1.921230025097595,0.8047121489136972,0.1406746019358104,1.2704881425006802,0.7448339058971404,0.7259564628805122,0.3557412688834667
tnw10.30m,2.52417837349693,2.167948922438489,0.5458941138305303,-0.1281912300385369,0.9564078080624872,0.2502405794858931,0.9059665195207794,0.5593768415119912
tnw10.40m,2.709959186155916,2.35682795715332,0.5811716508247283,-0.1222844151189592,0.8498861890549411,0.0105736321168475,1.0401524743108874,0.7151917248463631
tnw10.60m,2.8679375168309464,2.4727931813003616,0.7967631142454312,-0.213644299123817,0.803039162151684,-0.331360828292105,1.143706791791129,0.8571046011937989
tnw11.2m,1.226387530161918,1.094395314521048,1.2921048861108315,1.1337346230340004,2.581892497749924,2.54679259278112,1.6775704834690732,1.6430120265767307
tnw11.10m,1.7234800351849693,1.426616251774271,0.5263813354477667,-0.1858011071226331,0.7743967680817433,0.37332130824195,1.7428968711865298,1.5696046896572906
tnw11.20m,2.1705000740570624,1.8092784729749627,0.5538130153502147,-0.2542422881417804,0.6956233792496758,0.0465698488881852,1.6017498694032852,1.3389256374730003
tnw12.2m,0.8948161103613842,0.7653576289556555,1.0179949725166086,0.9066481382669872,1.942081193535499,1.921748932137489,1.6234826594845602,1.564615887063609
tnw12.4m,1.116364049828354,0.9462881580326358,0.8462832550494216,0.7122408994169632,1.606343321022513,1.5751666059705944,1.6076403319207235,1.5116718625277945
tnw12.6m,1.2419187317793587,1.0375707547773123,0.7202754681639402,0.5392306902834574,1.451771690699327,1.4003676513783136,1.6746758435298057,1.548170530231926
tnw12.8m,1.3139016288011207,1.08940247858674,0.6123240488795993,0.3762879553654459,1.2547867600346376,1.173631401707861,1.6356791957938044,1.4765915408492083
tnw12.10m,1.411849477224036,1.1637707530346315,0.5659789160698085,0.3008696627010239,1.1513059680893074,1.0421249147028393,1.6096025749255272,1.4236483229427868
tnw12.12m,1.569219356603498,1.2882541992629235,0.5376348869595032,0.2297866859019861,1.045163031749999,0.8935690000772476,1.5957083240036332,1.3825822944054338
tnw12.20m,2.216899433220212,1.7981373429598144,0.5361891203258811,0.0832673378050591,0.9069656425045456,0.6336284465355342,1.5429160076704822,1.267786734090911
